id,title,score
31,jitsi webrtc videobridge video powered,1.0
39,search web privately brave,0.9999996423721313
33,youtube 並與親朋好友和全世界觀眾分享你的影片 上盡情享受自己喜愛的影片和音樂 上傳原創內容,0.8809082210063934
32,facebook 登入 即可開始和親朋好友及認識的人分享聯繫 登入或註冊,0.8375839591026306
37,information software university study bachelor,0.42770108580589294
23,firefox customize controls toolbars buttons,0.36123069655150175
35,fedora linux org built containers,0.3498965986073017
38,likecoin github chain indexer account,0.32274273463657926
28,nextcloud hub virtual files brings,0.27420744597911834
26,theme hugo github stack demo,0.25421383551188875
34,i3 i3wm manager wm window,0.23741356432437896
29,z01kd 404 page zenfone ze554kl,0.15711665991693735
13,golang github git module development,0.15388656981910268
5,ledger accounting command line cli,0.14711895398795605
41,07 audio https 萬千花蕊慈母悲哀 魔鏡歌詞網,0.13636863678693772
22,vim github completion plugin menu,0.12325201500207186
27,tensorflow learning github japan deep,0.11759953531954023
18,monitoring page uptime speed dashboard,0.11399261231001999
30,語言 cinema 人權juice果汁機 line 閩南語,0.08776942350400183
17,audio jack configure linux realtime,0.08113607790853296
7,書名 isbn 出版日期 作者 出版社,0.07980195259571904
8,mail server domain postfix proton,0.0719941036310047
25,latex tutorials tutorial learn programming,0.07124949496937916
15,free english dictionary online translate,0.0637197418190125
40,tor nginx wang linux 架設,0.037428100826218724
4,network open world cosmos source,0.01629841658065007
20,ipfs windows 10 ltsc iso,0.010498802224174143
16,audio music plugins instruments software,0.000386631116271019
12,firefox yoyohand mozilla 規格 挑戰手機市場最低價,-0.006837954286199349
2,google maps spotify videos account,-0.007898287746744852
1,rss app linux hexo cs,-0.017703023067125203
19,linux service run creating password,-0.018240232268969217
36,verilog matrix binary online ssh,-0.02142264018766582
3,github contribute development account creating,-0.026901601061345665
14,00 usb github trs 歡迎光臨博客來,-0.028488020608691794
9,using happens code tool questions,-0.04220552766873013
0,use latex online github editor,-0.0458369145621433
21,art ai free scratch game,-0.04943748600780964
10,api dropbox like router use,-0.0521259403245969
6,https com data free website,-0.06074519933348423
24,seafile tutorial data com values,-0.07238125938527125
11,video podcast 區塊勢 許明恩 substack,-0.09080288967778606
